row_key,flipped,rule,src_frame,train_frame,question_changed,answer_changed
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:1,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134025.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134025.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:2,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134200.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_2.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:3,True,all_object_positions,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134250.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_3.jpg,False,True
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:4,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134475.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134475.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:5,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134675.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134675.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:6,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134925.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__134925.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:7,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135100.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135100.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:8,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135175.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135175.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:9,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135225.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135225.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:10,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135300.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135300.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:11,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135425.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_11.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:12,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135575.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__135575.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:13,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136250.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136250.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:14,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136275.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136275.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:15,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136400.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136400.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:16,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136625.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_16.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:17,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136650.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136650.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:18,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136725.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136725.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:19,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136725.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136725.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:20,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136750.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136750.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:21,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136925.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__136925.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:22,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137175.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137175.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:23,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137175.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137175.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:24,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137200.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137200.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:25,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137250.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137250.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:26,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137325.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137325.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:27,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137375.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_27.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:28,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137400.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137400.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:29,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137400.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_29.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:30,True,fixed_quadrant_class,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137400.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_30.jpg,True,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:31,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137425.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137425.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:32,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137425.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137425.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:33,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137475.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137475.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:34,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137475.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137475.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:35,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137800.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_35.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:36,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137800.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_36.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:37,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137825.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_37.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:38,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137925.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137925.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:39,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137925.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137925.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:40,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137950.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137950.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:41,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137950.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__137950.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:42,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138000.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138000.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:43,True,all_object_positions,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138000.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_43.jpg,False,True
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:44,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138100.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138100.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:45,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138525.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138525.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:46,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138550.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138550.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:47,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138550.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_47.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:48,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138850.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__138850.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:49,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139000.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139000.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:50,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139125.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_50.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:51,True,non_spatial,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139150.jpg,/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/flip_frames/180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b_51.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:52,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139150.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__139150.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:53,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142550.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142550.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:54,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142725.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142725.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:55,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142750.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142750.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:56,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142750.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142750.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:57,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142825.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142825.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:58,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142875.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__142875.jpg,False,False
180e28f0325674197d52706beeabd846851bdd2875264b5c3505e0debfbd8e8b:59,False,not_flipped,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__143225.jpg,/workspace/frames_cache/heico__0000_Heico_Prokto_1_avi__143225.jpg,False,False
