experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,ID,binary,0.8181818181818182,176,0.6590909090909091,0.15909090909090917,0.7212962962962963,0.9027854938271604
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,ID,number,0.3346354166666667,768,0.24088541666666666,0.09375000000000003,0.2815484628370176,0.38338165454519313
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,ID,open_ended,0.18181818181818182,11,0.9090909090909091,-0.7272727272727273,0.5948588120417164,0.7452543124621643
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,OOD,binary,0.7682481751824818,548,0.7262773722627737,0.04197080291970812,0.6680447146055699,0.8248608321503057
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,OOD,number,0.475867269984917,1326,0.46907993966817496,0.006787330316742057,0.3980594736737271,0.5840478197544368
13-wise-ft,13_wise_ft_v1__a0.85,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.6471030407764278,0.8493811938061937
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,ID,fo_class,0.6076086956521739,920,0.2891304347826087,0.3184782608695652,0.558622364985064,0.6963408213196909
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,ID,multiple_choice,0.8333333333333334,90,0.36666666666666664,0.46666666666666673,0.6575053418803419,0.9246108058608059
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,ID,open_ended,0.6468531468531469,286,0.5174825174825175,0.12937062937062938,0.5948588120417164,0.7452543124621643
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,OOD,fo_class,0.6193732193732193,1755,0.36182336182336183,0.2575498575498575,0.5507486387888436,0.7303765607800601
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,OOD,multiple_choice,0.7857142857142857,112,0.5,0.2857142857142857,0.5233291245791245,0.9318229336374498
13-wise-ft,13_wise_ft_v1__a0.85,object_recognition,OOD,open_ended,0.7325581395348837,258,0.49224806201550386,0.24031007751937983,0.6471030407764278,0.8493811938061937
13-wise-ft,13_wise_ft_v1__a0.85,temporal_grounding,ID,open_ended,0.0,1,1.0,-1.0,0.5948588120417164,0.7452543124621643
