experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,ID,binary,0.7556818181818182,176,0.6590909090909091,0.09659090909090917,0.6597244268077601,0.8453317901234568
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,ID,number,0.3190104166666667,768,0.24088541666666666,0.07812500000000003,0.269678291491642,0.3630190664693175
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,ID,open_ended,0.2727272727272727,11,0.9090909090909091,-0.6363636363636364,0.4881219450192665,0.6512617607503375
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,OOD,binary,0.7043795620437956,548,0.7262773722627737,-0.021897810218978075,0.595143120037857,0.7704149151287308
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,OOD,number,0.4841628959276018,1326,0.46907993966817496,0.01508295625942685,0.399689845799614,0.5979289107434523
06-vit-lora,06_vit_lora_v1__ep1_full,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5245358504398826,0.8011107314021575
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,ID,fo_class,0.5641304347826087,920,0.2891304347826087,0.275,0.5139480409440227,0.6515712750366754
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,ID,multiple_choice,0.8222222222222222,90,0.36666666666666664,0.45555555555555555,0.6253968253968254,0.9012553418803418
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,ID,open_ended,0.5804195804195804,286,0.5174825174825175,0.06293706293706292,0.4881219450192665,0.6512617607503375
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,OOD,fo_class,0.5863247863247864,1755,0.36182336182336183,0.22450142450142452,0.5282372339895927,0.6793768232467222
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,OOD,multiple_choice,0.75,112,0.5,0.25,0.4948592103834039,0.9069200065167807
06-vit-lora,06_vit_lora_v1__ep1_full,object_recognition,OOD,open_ended,0.6705426356589147,258,0.49224806201550386,0.17829457364341084,0.5245358504398826,0.8011107314021575
06-vit-lora,06_vit_lora_v1__ep1_full,temporal_grounding,ID,open_ended,0.0,1,1.0,-1.0,0.4881219450192665,0.6512617607503375
