experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,ID,binary,0.7102272727272727,176,0.6590909090909091,0.051136363636363646,0.601117724867725,0.8113040123456788
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,ID,number,0.3098958333333333,768,0.24088541666666666,0.06901041666666666,0.2591138714447822,0.36150961422770933
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,ID,open_ended,0.09090909090909091,11,0.9090909090909091,-0.8181818181818181,0.4953242705153157,0.6733236191475425
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,OOD,binary,0.8065693430656934,548,0.7262773722627737,0.08029197080291972,0.6981895286730813,0.860057491302557
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,OOD,number,0.45324283559577677,1326,0.46907993966817496,-0.01583710407239819,0.38737623440231117,0.5546039320233086
24-geometric-aug,24_flip_p25_v1__ep1_full,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5874211597542242,0.8534088407206828
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,ID,fo_class,0.5760869565217391,920,0.2891304347826087,0.28695652173913044,0.5180374051941093,0.656126694529594
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,ID,multiple_choice,0.7666666666666667,90,0.36666666666666664,0.4000000000000001,0.5566849816849817,0.8690476190476191
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,ID,open_ended,0.5804195804195804,286,0.5174825174825175,0.06293706293706292,0.4953242705153157,0.6733236191475425
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,OOD,fo_class,0.6245014245014245,1755,0.36182336182336183,0.2626780626780627,0.5691693537776722,0.6985616792139115
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,OOD,multiple_choice,0.8035714285714286,112,0.5,0.3035714285714286,0.5635130878679265,0.9814814814814815
24-geometric-aug,24_flip_p25_v1__ep1_full,object_recognition,OOD,open_ended,0.7441860465116279,258,0.49224806201550386,0.25193798449612403,0.5874211597542242,0.8534088407206828
24-geometric-aug,24_flip_p25_v1__ep1_full,temporal_grounding,ID,open_ended,1.0,1,1.0,0.0,0.4953242705153157,0.6733236191475425
